t, 121.55059435160365, ax, -3.4959030151367188, ay, -80.28987884521484, wz, -0.1119452565908432
t, 121.6578443510225, ax, 491.2044372558594, ay, -183.37033081054688, wz, -0.11021298170089722
t, 121.75684435048606, ax, -487.42376708984375, ay, -38.611083984375, wz, -0.09388673305511475
t, 121.85584434994962, ax, -4.789859771728516, ay, -29.813152313232422, wz, -0.0800558552145958
t, 121.95484434941318, ax, -10.09033203125, ay, -160.75221252441406, wz, -0.18617793917655945
t, 122.05384434887674, ax, 5.9267120361328125, ay, -152.42880249023438, wz, -0.165688619017601
t, 122.1528443483403, ax, 0.33502197265625, ay, -58.3613166809082, wz, -0.1414310783147812
t, 122.25184434780385, ax, -8.132404327392578, ay, -50.00539779663086, wz, -0.14620603621006012
t, 122.35084434726741, ax, -13.691024780273438, ay, -223.45599365234375, wz, -0.22013774514198303
t, 122.45809434668627, ax, 502.0934143066406, ay, -144.82577514648438, wz, -0.18833084404468536
t, 122.55709434614982, ax, -497.54522705078125, ay, -50.27093505859375, wz, -0.16104279458522797
t, 122.65609434561338, ax, -12.157989501953125, ay, -98.08899688720703, wz, -0.2313528060913086
t, 122.75509434507694, ax, -6.5586395263671875, ay, -227.81881713867188, wz, -0.22881489992141724
t, 122.8540943445405, ax, 9.0009765625, ay, -90.65876007080078, wz, -0.1963101625442505
t, 122.95309434400406, ax, -10.531646728515625, ay, -63.69318389892578, wz, -0.16817088425159454
t, 123.05209434346762, ax, -14.895683288574219, ay, -147.8256378173828, wz, -0.2526189088821411
t, 123.15109434293117, ax, 2.093963623046875, ay, -196.37277221679688, wz, -0.22827363014221191
t, 123.25009434239473, ax, 3.1428909301757812, ay, -81.56359100341797, wz, -0.19539126753807068
t, 123.35734434181359, ax, 478.8179931640625, ay, -86.27839660644531, wz, -0.16562537848949432
t, 123.45634434127714, ax, -506.53253173828125, ay, -193.8216552734375, wz, -0.2532837390899658
t, 123.5553443407407, ax, 8.600364685058594, ay, -152.73895263671875, wz, -0.22154264152050018
t, 123.65434434020426, ax, -3.2678756713867188, ay, -75.16326904296875, wz, -0.18960745632648468
t, 123.75334433966782, ax, -11.340803146362305, ay, -72.54764556884766, wz, -0.20800894498825073
t, 123.85234433913138, ax, -14.405654907226562, ay, -234.2085418701172, wz, -0.24830947816371918
t, 123.95134433859494, ax, 11.364151000976562, ay, -113.54903411865234, wz, -0.21428008377552032
t, 124.0503443380585, ax, -8.19952392578125, ay, -70.57948303222656, wz, -0.18347491323947906
t, 124.15759433747735, ax, 474.6993103027344, ay, -144.20657348632812, wz, -0.26635050773620605
t, 124.2565943369409, ax, -497.01556396484375, ay, -245.68356323242188, wz, -0.25592437386512756
t, 124.35559433640447, ax, 9.47597885131836, ay, -98.07598876953125, wz, -0.21895700693130493
t, 124.45459433586802, ax, -13.178667068481445, ay, -69.90479278564453, wz, -0.187069371342659
t, 124.55359433533158, ax, -16.500507354736328, ay, -164.22909545898438, wz, -0.2620253562927246
t, 124.65259433479514, ax, 5.2553863525390625, ay, -174.57276916503906, wz, -0.23136161267757416
t, 124.7515943342587, ax, 0.19573974609375, ay, -78.62525177001953, wz, -0.1972675323486328
t, 124.85059433372226, ax, -11.278629302978516, ay, -63.466346740722656, wz, -0.17809411883354187
t, 124.95784433314111, ax, 474.6469421386719, ay, -244.621337890625, wz, -0.24703358113765717
t, 125.05684433260467, ax, -479.7672424316406, ay, -115.00794982910156, wz, -0.21291296184062958
t, 125.15584433206823, ax, -6.674774646759033, ay, -69.07906341552734, wz, -0.1814664900302887
t, 125.25484433153179, ax, -7.869461536407471, ay, -57.06877136230469, wz, -0.1554112583398819
t, 125.35384433099534, ax, -5.562607288360596, ay, -110.86626434326172, wz, -0.2339942902326584
t, 125.4528443304589, ax, -6.0379133224487305, ay, -216.7759552001953, wz, -0.22260431945323944
t, 125.55184432992246, ax, 5.833422660827637, ay, -84.86830139160156, wz, -0.19076749682426453
t, 125.65084432938602, ax, -9.369272232055664, ay, -61.65097427368164, wz, -0.16348502039909363
t, 125.75809432880487, ax, 475.5051574707031, ay, -180.94398498535156, wz, -0.24945497512817383
t, 125.85709432826843, ax, -486.6259765625, ay, -181.3060302734375, wz, -0.2224387675523758
t, 125.95609432773199, ax, 1.0949859619140625, ay, -78.04664611816406, wz, -0.19038227200508118
t, 126.05509432719555, ax, -10.969337463378906, ay, -62.70051193237305, wz, -0.17290633916854858
t, 126.1540943266591, ax, -16.276710510253906, ay, -216.51605224609375, wz, -0.2510327398777008
t, 126.25309432612266, ax, 10.347389221191406, ay, -137.56422424316406, wz, -0.21829992532730103
t, 126.35209432558622, ax, -4.971000671386719, ay, -73.15548706054688, wz, -0.18681851029396057
t, 126.45109432504978, ax, -11.865074157714844, ay, -80.8625259399414, wz, -0.22535479068756104
t, 126.55009432451334, ax, -12.242538452148438, ay, -234.6366729736328, wz, -0.24518151581287384
t, 126.6573443239322, ax, 501.8096923828125, ay, -134.26959228515625, wz, -0.2083132565021515
t, 126.75634432339575, ax, -501.4307861328125, ay, -54.29905700683594, wz, -0.17847846448421478
t, 126.85534432285931, ax, -14.417427062988281, ay, -132.70437622070312, wz, -0.25486335158348083
t, 126.95434432232287, ax, -0.7462921142578125, ay, -204.92141723632812, wz, -0.23364649713039398
t, 127.05334432178643, ax, 4.788730621337891, ay, -84.99163055419922, wz, -0.20010283589363098
t, 127.15234432124998, ax, -11.47005844116211, ay, -64.5364990234375, wz, -0.17167477309703827
t, 127.25134432071354, ax, -15.702163696289062, ay, -181.38787841796875, wz, -0.25486132502555847
t, 127.3503443201771, ax, 6.7893524169921875, ay, -164.78680419921875, wz, -0.22423534095287323
t, 127.45759431959596, ax, 488.96856689453125, ay, -103.34384155273438, wz, -0.1893709897994995
t, 127.55659431905951, ax, -502.00714111328125, ay, -53.40850830078125, wz, -0.18778923153877258
t, 127.65559431852307, ax, -14.792236328125, ay, -225.3675537109375, wz, -0.24749061465263367
t, 127.75459431798663, ax, 10.586013793945312, ay, -122.36995697021484, wz, -0.2141776978969574
t, 127.85359431745019, ax, -6.6822967529296875, ay, -71.0477294921875, wz, -0.18332378566265106
t, 127.95259431691375, ax, -11.881950378417969, ay, -90.12600708007812, wz, -0.23193436861038208
t, 128.0515943163773, ax, -7.9524383544921875, ay, -213.72836303710938, wz, -0.23118382692337036
t, 128.15059431584086, ax, 8.429908752441406, ay, -91.208251953125, wz, -0.19818875193595886
t, 128.25784431525972, ax, 480.8633117675781, ay, -87.340087890625, wz, -0.16737474501132965
t, 128.35684431472328, ax, -502.4208679199219, ay, -117.79296875, wz, -0.22187136113643646
t, 128.45584431418683, ax, 2.7172698974609375, ay, -146.9803924560547, wz, -0.1960756629705429
t, 128.5548443136504, ax, 0.5949249267578125, ay, -66.6490478515625, wz, -0.16730763018131256
t, 128.65384431311395, ax, -7.926582336425781, ay, -52.87714767456055, wz, -0.14319516718387604
t, 128.7528443125775, ax, -10.64813232421875, ay, -157.6221923828125, wz, -0.21431748569011688
t, 128.85184431204107, ax, 5.3852996826171875, ay, -134.53427124023438, wz, -0.1872837245464325
t, 128.95084431150462, ax, -1.5768585205078125, ay, -62.82217025756836, wz, -0.15981067717075348
t, 129.05809431092348, ax, 483.0406494140625, ay, -69.66815185546875, wz, -0.13520732522010803
t, 129.15709431038704, ax, -501.86749267578125, ay, -175.17010498046875, wz, -0.2169388085603714
t, 129.2560943098506, ax, 6.5855255126953125, ay, -131.33438110351562, wz, -0.18918851017951965
t, 129.35509430931415, ax, -2.7033843994140625, ay, -63.710880279541016, wz, -0.16166600584983826
t, 129.4540943087777, ax, -8.706581115722656, ay, -63.03399658203125, wz, -0.18374012410640717
t, 129.55309430824127, ax, -11.948944091796875, ay, -218.69703674316406, wz, -0.22240568697452545
t, 129.65209430770483, ax, 9.955818176269531, ay, -102.42929077148438, wz, -0.1916537880897522
t, 129.7510943071684, ax, -6.872283935546875, ay, -62.84080505371094, wz, -0.1639026701450348
