SteeringAngle, 0.1570882797241211, Speed, 3.4247930120662344, Rotation, 179.8333740234375
SteeringAngle, 0.15427975356578827, Speed, 3.4711595652385534, Rotation, 179.83505249023438
SteeringAngle, 0.15520122647285461, Speed, 3.5174805957890487, Rotation, 179.83670043945312
SteeringAngle, 0.1512944996356964, Speed, 3.5637541876986316, Rotation, 179.83840942382812
SteeringAngle, 0.14840155839920044, Speed, 3.6099800770700163, Rotation, 179.840087890625
SteeringAngle, 0.15319345891475677, Speed, 3.6561562068553277, Rotation, 179.84185791015625
SteeringAngle, 0.14026480913162231, Speed, 3.702282074831171, Rotation, 179.8435821533203
SteeringAngle, 0.1434778869152069, Speed, 3.7483574308474807, Rotation, 179.84532165527344
SteeringAngle, 0.14731797575950623, Speed, 3.794381080131722, Rotation, 179.84706115722656
SteeringAngle, 0.13391737639904022, Speed, 3.8403515532262675, Rotation, 179.84877014160156
SteeringAngle, 0.13726113736629486, Speed, 3.8862688488986215, Rotation, 179.8505096435547
SteeringAngle, 0.1371394246816635, Speed, 3.9319751858879637, Rotation, 179.85226440429688
SteeringAngle, 0.13280868530273438, Speed, 3.9769489415804005, Rotation, 179.85401916503906
SteeringAngle, 0.12518395483493805, Speed, 4.020525425726253, Rotation, 179.85569763183594
SteeringAngle, 0.12756294012069702, Speed, 4.062108224941725, Rotation, 179.85740661621094
SteeringAngle, 0.12746015191078186, Speed, 4.1011528338031535, Rotation, 179.85910034179688
SteeringAngle, 0.11346739530563354, Speed, 4.137162524178468, Rotation, 179.86074829101562
SteeringAngle, 0.11735285073518753, Speed, 4.169683607209844, Rotation, 179.8623809814453
SteeringAngle, 0.1123834177851677, Speed, 4.198059110090734, Rotation, 179.86399841308594
SteeringAngle, 0.11371824145317078, Speed, 4.221019618077584, Rotation, 179.86557006835938
SteeringAngle, 0.11366745829582214, Speed, 4.237919038478454, Rotation, 179.8670654296875
SteeringAngle, 0.10336941480636597, Speed, 4.248530507595671, Rotation, 179.86856079101562
SteeringAngle, 0.11653489619493484, Speed, 4.252998714286482, Rotation, 179.87001037597656
SteeringAngle, 0.1033390611410141, Speed, 4.252046863589425, Rotation, 179.87144470214844
SteeringAngle, 0.10626965016126633, Speed, 4.247212547923993, Rotation, 179.872802734375
SteeringAngle, 0.09525621682405472, Speed, 4.239500146728376, Rotation, 179.8741455078125
SteeringAngle, 0.10403689742088318, Speed, 4.229502146793915, Rotation, 179.8754119873047
SteeringAngle, 0.09097293019294739, Speed, 4.217736640303877, Rotation, 179.87664794921875
SteeringAngle, 0.10013309866189957, Speed, 4.204634439419833, Rotation, 179.87786865234375
SteeringAngle, 0.09848504513502121, Speed, 4.190558554362434, Rotation, 179.87908935546875
SteeringAngle, 0.09851202368736267, Speed, 4.175810804392936, Rotation, 179.88026428222656
SteeringAngle, 0.08653437346220016, Speed, 4.160644026539527, Rotation, 179.88137817382812
SteeringAngle, 0.09613002836704254, Speed, 4.144912077900283, Rotation, 179.8825225830078
SteeringAngle, 0.08826226741075516, Speed, 4.128312839330847, Rotation, 179.8835906982422
SteeringAngle, 0.096190445125103, Speed, 4.111156089931074, Rotation, 179.88470458984375
SteeringAngle, 0.08185602724552155, Speed, 4.093916987402081, Rotation, 179.88571166992188
SteeringAngle, 0.09195120632648468, Speed, 4.077007737321351, Rotation, 179.88677978515625
SteeringAngle, 0.09013498574495316, Speed, 4.060801844932785, Rotation, 179.88780212402344
SteeringAngle, 0.07685138285160065, Speed, 4.045623656710135, Rotation, 179.88877868652344
SteeringAngle, 0.0875190943479538, Speed, 4.031750923340205, Rotation, 179.88975524902344
SteeringAngle, 0.09206219017505646, Speed, 4.019411187147792, Rotation, 179.89073181152344
SteeringAngle, 0.07691309601068497, Speed, 4.0087815370542295, Rotation, 179.89169311523438
SteeringAngle, 0.08073350042104721, Speed, 3.99999170569899, Rotation, 179.8926544189453
SteeringAngle, 0.07345372438430786, Speed, 3.9931200089929604, Rotation, 179.8935546875
SteeringAngle, 0.07554608583450317, Speed, 3.9881959136373855, Rotation, 179.8944549560547
SteeringAngle, 0.0755532905459404, Speed, 3.9852022851985045, Rotation, 179.89535522460938
SteeringAngle, 0.06771861761808395, Speed, 3.9840764906262374, Rotation, 179.89620971679688
SteeringAngle, 0.06143254414200783, Speed, 3.984712405021372, Rotation, 179.89700317382812
SteeringAngle, 0.06386584788560867, Speed, 3.986959739563665, Rotation, 179.8978271484375
SteeringAngle, 0.08022589981555939, Speed, 3.990640048848578, Rotation, 179.8986358642578
SteeringAngle, 0.0677114799618721, Speed, 3.995542867877963, Rotation, 179.89947509765625
SteeringAngle, 0.07777979224920273, Speed, 4.0014254900260875, Rotation, 179.90032958984375
SteeringAngle, 0.06769733130931854, Speed, 4.00804206585286, Rotation, 179.90118408203125
SteeringAngle, 0.07776094973087311, Speed, 4.0151496873794414, Rotation, 179.90208435058594
SteeringAngle, 0.049731720238924026, Speed, 4.0225160026999935, Rotation, 179.90286254882812
SteeringAngle, 0.07502774149179459, Speed, 4.029922108867009, Rotation, 179.90365600585938
SteeringAngle, 0.06989604979753494, Speed, 4.03716996760788, Rotation, 179.9044952392578
SteeringAngle, 0.05194707214832306, Speed, 4.044082282219567, Rotation, 179.90525817871094
SteeringAngle, 0.04636705294251442, Speed, 4.05050823359267, Rotation, 179.90599060058594
